"iditem_liquidacion_final"|"fecha_creado"|"creado_por"|"orden"|"descripcion"|"comprobante_nro"|"total_guarani"|"sin_iva"|"solo_iva"|"fk_idliquidacion_final"|"fk_idcomprobante_liquidacion"
3264|"2022-09-26 08:42:11.915"|"5-Angel Rios "|4|"IRE GENERAL 700"|"22005IC04019675A"|1963472|1963472|0|196|38
3265|"2022-09-26 08:42:11.931"|"5-Angel Rios "|5|"I.V.A."|"22005IC04019675A"|49086806|0|49086806|196|8
3266|"2022-09-26 08:42:11.931"|"5-Angel Rios "|6|"TASA INTER. ADUAN."|"22005IC04019675A"|350149|350149|0|196|24
3267|"2022-09-26 08:42:11.946"|"5-Angel Rios "|7|"CANON INFORMATICO"|"5053127"|245222|245222|0|196|9
3268|"2022-09-26 08:42:11.946"|"5-Angel Rios "|8|"FOTOCOPIAS"|"001-002-0018392"|70000|63636|6363|196|12
3269|"2022-09-26 08:42:11.962"|"5-Angel Rios "|9|"TASA PORTUARIA"|"002-007-0039781"|2559755|2327050|232705|196|14
3270|"2022-09-26 08:42:11.962"|"5-Angel Rios "|10|"CDAP PAGOS"|"001-025-0178886"|7003|6366|636|196|27
3271|"2022-09-26 08:42:11.978"|"5-Angel Rios "|11|"SERVICIOS SOFIA / ANNP"|"001-004-0126696"|63994|58176|5817|196|11
3272|"2022-09-26 08:42:11.978"|"5-Angel Rios "|12|"VISACION MRE"|"1117970"|490445|490445|0|196|28
3273|"2022-09-26 08:42:11.993"|"5-Angel Rios "|13|"CDAP PAGOS"|"001-024-0168525"|10000|9090|909|196|27
3274|"2022-09-26 08:42:11.993"|"5-Angel Rios "|14|"MIPYMES MIC"|"1907356"|691023|628202|62820|196|22
3275|"2022-09-26 08:42:12.009"|"5-Angel Rios "|15|"APORTE VUE"|"1907356"|73282|66620|6662|196|23
3276|"2022-09-26 08:42:12.009"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002103"|8678568|7889607|788960|196|16
3277|"2022-09-26 08:42:12.024"|"5-Angel Rios "|17|"REPOSICION DE GASTOS ADM"|"x"|0|0|0|196|21
3278|"2022-09-27 12:44:53.847"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IM04000503N"|0|0|0|197|2
3279|"2022-09-27 12:44:53.855"|"5-Angel Rios "|2|"INDI"|"22005IM04000503N"|14720|14720|0|197|3
3280|"2022-09-27 12:44:53.863"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IM04000503N"|57961|57961|0|197|5
3281|"2022-09-27 12:44:53.871"|"5-Angel Rios "|4|"IRE GENERAL 700"|"22005IM04000503N"|47500|47500|0|197|38
3282|"2022-09-27 12:44:53.878"|"5-Angel Rios "|5|"I.V.A."|"22005IM04000503N"|1187512|0|1187512|197|8
3283|"2022-09-27 12:44:53.892"|"5-Angel Rios "|6|"CANON INFORMATICO"|"5065967"|49044|49044|0|197|9
3284|"2022-09-27 12:44:53.897"|"5-Angel Rios "|7|"APERTURA AG. TRANSP."|"001-002-0003199"|200000|181818|18181|197|13
3285|"2022-09-27 12:44:53.904"|"5-Angel Rios "|8|"FOTOCOPIAS"|"001-002-00118400"|90000|81818|8181|197|12
3286|"2022-09-27 12:44:53.909"|"5-Angel Rios "|9|"TASA PORTUARIA"|"002-007-0040466"|116337|105760|10576|197|14
3287|"2022-09-27 12:44:53.914"|"5-Angel Rios "|10|"CDAP PAGOS"|"001-025-0180084"|7008|6370|637|197|27
3288|"2022-09-27 12:44:53.921"|"5-Angel Rios "|11|"SERVICIOS SOFIA / ANNP"|"001-004-0127889"|2908|2643|264|197|11
3289|"2022-09-27 12:44:53.926"|"5-Angel Rios "|12|"VISACION CONSUL"|"03018516/17/18"|486000|486000|0|197|15
3290|"2022-09-27 12:44:53.936"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002105"|3113000|2830000|283000|197|16
3291|"2022-09-27 12:44:53.942"|"5-Angel Rios "|17|"REPOSICION DE GASTOS ADM"|"x"|0|0|0|197|21
3292|"2022-09-29 11:16:43.084"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22002IC04020237G"|10342003|10342003|0|198|2
3293|"2022-09-29 11:16:43.093"|"5-Angel Rios "|2|"INDI"|"22002IC04020237G"|34331|34331|0|198|3
3294|"2022-09-29 11:16:43.099"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22002IC04020237G"|323188|323188|0|198|5
3295|"2022-09-29 11:16:43.105"|"5-Angel Rios "|4|"IRE GENERAL 700"|"22002IC04020237G"|303309|303309|0|198|38
3296|"2022-09-29 11:16:43.111"|"5-Angel Rios "|5|"I.V.A."|"22002IC04020237G"|7582750|0|7582750|198|8
3297|"2022-09-29 11:16:43.12"|"5-Angel Rios "|6|"CANON INFORMATICO"|"5067977"|250222|250222|0|198|9
3298|"2022-09-29 11:16:43.125"|"5-Angel Rios "|7|"FOTOCOPIAS"|"004-003-0004654"|112000|101818|10181|198|12
3299|"2022-09-29 11:16:43.132"|"5-Angel Rios "|8|"TASA PORTUARIA"|"001-034-0061197"|2780694|2527903|252790|198|14
3300|"2022-09-29 11:16:43.147"|"5-Angel Rios "|9|"CDAP PAGOS"|"001-021-0063705"|21058|19143|1914|198|27
3301|"2022-09-29 11:16:43.153"|"5-Angel Rios "|10|"VISACION MRE"|"1119456"|490445|490445|0|198|28
3302|"2022-09-29 11:16:43.158"|"5-Angel Rios "|11|"CDAP PAGOS"|"001-024-0170232"|10000|9090|909|198|27
3303|"2022-09-29 11:16:43.165"|"5-Angel Rios "|12|"TASA DINAVISA"|"562233"|196178|178343|17834|198|37
3304|"2022-09-29 11:16:43.17"|"5-Angel Rios "|13|"CDAP PAGOS"|"001-024-0170407"|10000|9090|909|198|27
3305|"2022-09-29 11:16:43.177"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002106"|1540000|1400000|140000|198|16
3306|"2022-09-29 11:16:43.185"|"5-Angel Rios "|15|"REPOSICION DE GASTOS ADM"|"755"|250000|250000|0|198|21
3307|"2022-10-05 09:45:25.545"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04020280H"|0|0|0|199|2
3308|"2022-10-05 09:45:25.555"|"5-Angel Rios "|2|"INDI"|"22005IC04020280H"|26950|26950|0|199|3
3309|"2022-10-05 09:45:25.564"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IC04020280H"|3695918|3695918|0|199|5
3310|"2022-10-05 09:45:25.572"|"5-Angel Rios "|4|"IRE GENERAL 700"|"22005IC04020280H"|2973167|2973167|0|199|38
3311|"2022-10-05 09:45:25.581"|"5-Angel Rios "|5|"I.V.A."|"22005IC04020280H"|74329156|0|74329156|199|8
3312|"2022-10-05 09:45:25.59"|"5-Angel Rios "|6|"CANON INFORMATICO"|"5088671"|245222|245222|0|199|9
3313|"2022-10-05 09:45:25.597"|"5-Angel Rios "|7|"FOTOCOPIAS"|"001-002-0018432"|90000|81818|8181|199|12
3314|"2022-10-05 09:45:25.604"|"5-Angel Rios "|8|"TASA PORTUARIA"|"002-007-0042091"|3326285|3023895|302389|199|14
3315|"2022-10-05 09:45:25.614"|"5-Angel Rios "|9|"CDAP PAGOS"|"001-025-0183409"|7094|6449|644|199|27
3316|"2022-10-05 09:45:25.62"|"5-Angel Rios "|10|"SERVICIOS SGD - DEPOSITO ANNP"|"001-004-0131214"|83157|75597|7560|199|28
3317|"2022-10-05 09:45:25.625"|"5-Angel Rios "|11|"VISACION CONSUL"|"03022232/33/34/35/36"|1012500|920454|92045|199|27
3318|"2022-10-05 09:45:25.63"|"5-Angel Rios "|12|"TASA DINAVISA"|"x"|0|0|0|199|37
3319|"2022-10-05 09:45:25.642"|"5-Angel Rios "|13|"CDAP PAGOS"|"x"|0|0|0|199|27
3320|"2022-10-05 09:45:25.647"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002108"|5395410|4904918|490491|199|16
3321|"2022-10-05 09:45:25.653"|"5-Angel Rios "|15|"REPOSICION DE GASTOS ADM"|"x"|0|0|0|199|21
3322|"2022-10-05 10:37:19.838"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04020283K"|1933085|1933085|0|200|2
3323|"2022-10-05 10:37:19.846"|"5-Angel Rios "|2|"INDI"|"22005IC04020283K"|14911|14911|0|200|3
3324|"2022-10-05 10:37:19.854"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IC04020283K"|162579|162579|0|200|5
3325|"2022-10-05 10:37:19.862"|"5-Angel Rios "|4|"IRE GENERAL 700"|"22005IC04020283K"|139358|139358|0|200|38
3326|"2022-10-05 10:37:19.873"|"5-Angel Rios "|5|"I.V.A."|"22005IC04020283K"|3483934|0|3483934|200|8
3327|"2022-10-05 10:37:19.878"|"5-Angel Rios "|6|"CANON INFORMATICO"|"5088695"|98089|98089|0|200|9
3328|"2022-10-05 10:37:19.885"|"5-Angel Rios "|7|"FOTOCOPIAS"|"001-002-0018431"|70000|63636|6363|200|12
3329|"2022-10-05 10:37:19.891"|"5-Angel Rios "|8|"TASA PORTUARIA"|"002-007-0042090"|182533|165939|16593|200|14
3330|"2022-10-05 10:37:19.897"|"5-Angel Rios "|9|"CDAP PAGOS"|"001-025-0183410"|7094|6449|644|200|27
3331|"2022-10-05 10:37:19.903"|"5-Angel Rios "|10|"SERVICIOS SGD - DEPOSITO ANNP"|"001-004-0131213"|4563|4563|0|200|28
3332|"2022-10-05 10:37:19.907"|"5-Angel Rios "|11|"VISACION CONSUL"|"03022237/38"|243000|220909|22090|200|27
3333|"2022-10-05 10:37:19.912"|"5-Angel Rios "|12|"TASA DINAVISA"|"x"|0|0|0|200|37
3334|"2022-10-05 10:37:19.918"|"5-Angel Rios "|13|"CDAP PAGOS"|"x"|0|0|0|200|27
3335|"2022-10-05 10:37:19.924"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002109"|1584000|1440000|144000|200|16
3336|"2022-10-05 10:37:19.93"|"5-Angel Rios "|15|"REPOSICION DE GASTOS ADM"|"x"|0|0|0|200|21
3337|"2022-10-05 10:38:20.567"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04020280H"|0|0|0|201|2
3338|"2022-10-05 10:38:20.593"|"5-Angel Rios "|2|"INDI"|"22005IC04020280H"|26950|26950|0|201|3
3339|"2022-10-05 10:38:20.624"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IC04020280H"|3695918|3695918|0|201|5
3340|"2022-10-05 10:38:20.645"|"5-Angel Rios "|4|"IRE GENERAL 700"|"22005IC04020280H"|2973167|2973167|0|201|38
3341|"2022-10-05 10:38:20.689"|"5-Angel Rios "|5|"I.V.A."|"22005IC04020280H"|74329156|0|74329156|201|8
3342|"2022-10-05 10:38:20.695"|"5-Angel Rios "|6|"CANON INFORMATICO"|"5088671"|245222|245222|0|201|9
3343|"2022-10-05 10:38:20.707"|"5-Angel Rios "|7|"FOTOCOPIAS"|"001-002-0018432"|90000|81818|8181|201|12
3344|"2022-10-05 10:38:20.719"|"5-Angel Rios "|8|"TASA PORTUARIA"|"002-007-0042091"|3326285|3023895|302389|201|14
3345|"2022-10-05 10:38:20.73"|"5-Angel Rios "|9|"CDAP PAGOS"|"001-025-0183409"|7094|6449|644|201|27
3346|"2022-10-05 10:38:20.739"|"5-Angel Rios "|10|"SERVICIOS SGD - DEPOSITO ANNP"|"001-004-0131214"|83157|75597|7560|201|28
3347|"2022-10-05 10:38:20.747"|"5-Angel Rios "|11|"VISACION CONSUL"|"03022232/33/34/35/36"|1012500|920454|92045|201|27
3348|"2022-10-05 10:38:20.76"|"5-Angel Rios "|12|"TASA DINAVISA"|"x"|0|0|0|201|37
3349|"2022-10-05 10:38:20.768"|"5-Angel Rios "|13|"CDAP PAGOS"|"x"|0|0|0|201|27
3350|"2022-10-05 10:38:20.777"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002108"|5395410|4904918|490491|201|16
3351|"2022-10-05 10:38:20.785"|"5-Angel Rios "|15|"REPOSICION DE GASTOS ADM"|"x"|0|0|0|201|21
3352|"2022-10-05 11:43:06.142"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22032IC04006239P"|79166858|79166858|0|202|2
3353|"2022-10-05 11:43:06.154"|"5-Angel Rios "|2|"INDI"|"22032IC04006239P"|69368|69368|0|202|3
3354|"2022-10-05 11:43:06.159"|"5-Angel Rios "|3|"I.S.C."|"22032IC04006239P"|4433782|4433782|0|202|4
3355|"2022-10-05 11:43:06.165"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22032IC04006239P"|4447073|4447073|0|202|5
3356|"2022-10-05 11:43:06.17"|"5-Angel Rios "|5|"IRE GENERAL 700"|"22032IC04006239P"|3914091|3914091|0|202|38
3357|"2022-10-05 11:43:06.175"|"5-Angel Rios "|6|"I.V.A."|"22032IC04006239P"|97852272|0|97852272|202|8
3358|"2022-10-05 11:43:06.181"|"5-Angel Rios "|7|"TASA INT. ADUANERA "|"22032IC04006239P"|354708|354708|0|202|35
3359|"2022-10-05 11:43:06.186"|"5-Angel Rios "|8|"TASA INT. ANNP"|"5095159"|354707|354707|0|202|36
3360|"2022-10-05 11:43:06.191"|"5-Angel Rios "|9|"CANON INFORMATICO"|"5095049"|245222|245222|0|202|9
3361|"2022-10-05 11:43:06.197"|"5-Angel Rios "|10|"FOTOCOPIAS"|"023-002-0001101"|48000|43636|4363|202|12
3362|"2022-10-05 11:43:06.202"|"5-Angel Rios "|11|"TASA PORTUARIA"|"001-004-13567"|1366333|1242120|124212|202|14
3363|"2022-10-05 11:43:06.207"|"5-Angel Rios "|12|"VISACION MRE"|"1124408"|980890|980890|0|202|28
3364|"2022-10-05 11:43:06.212"|"5-Angel Rios "|13|"CDAP PAGOS"|"001-024-0173478"|10000|9090|909|202|27
3365|"2022-10-05 11:43:06.224"|"5-Angel Rios "|14|"MOPC"|"1124599"|49045|49045|0|202|34
3366|"2022-10-05 11:43:06.23"|"5-Angel Rios "|15|"CDAP PAGOS"|"001-024-0173480"|10000|9090|909|202|27
3367|"2022-10-05 11:43:06.234"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"x"|6015068|5468243|546824|202|16
3368|"2022-10-05 11:43:06.239"|"5-Angel Rios "|17|"GASTO ADMIN."|"x"|660000|660000|0|202|17
3369|"2022-10-06 11:13:25.449"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22032IC04006239P"|79166858|79166858|0|203|2
3370|"2022-10-06 11:13:25.46"|"5-Angel Rios "|2|"INDI"|"22032IC04006239P"|69368|69368|0|203|3
3371|"2022-10-06 11:13:25.467"|"5-Angel Rios "|3|"I.S.C."|"22032IC04006239P"|4433782|4433782|0|203|4
3372|"2022-10-06 11:13:25.473"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22032IC04006239P"|4447073|4447073|0|203|5
3373|"2022-10-06 11:13:25.479"|"5-Angel Rios "|5|"IRE GENERAL 700"|"22032IC04006239P"|3914091|3914091|0|203|38
3374|"2022-10-06 11:13:25.49"|"5-Angel Rios "|6|"I.V.A."|"22032IC04006239P"|97852272|0|97852272|203|8
3375|"2022-10-06 11:13:25.497"|"5-Angel Rios "|7|"TASA INT. ADUANERA "|"22032IC04006239P"|354708|354708|0|203|35
3376|"2022-10-06 11:13:25.502"|"5-Angel Rios "|8|"TASA INT. ANNP"|"5095159"|354707|354707|0|203|36
3377|"2022-10-06 11:13:25.51"|"5-Angel Rios "|9|"CANON INFORMATICO"|"5095049"|245222|245222|0|203|9
3378|"2022-10-06 11:13:25.514"|"5-Angel Rios "|10|"FOTOCOPIAS"|"023-002-0001101"|48000|43636|4363|203|12
3379|"2022-10-06 11:13:25.522"|"5-Angel Rios "|11|"TASA PORTUARIA"|"001-004-13567"|1366333|1242120|124212|203|14
3380|"2022-10-06 11:13:25.529"|"5-Angel Rios "|12|"VISACION MRE"|"1124408"|980890|980890|0|203|28
3381|"2022-10-06 11:13:25.543"|"5-Angel Rios "|13|"CDAP PAGOS"|"001-024-0173478"|10000|9090|909|203|27
3382|"2022-10-06 11:13:25.548"|"5-Angel Rios "|14|"MOPC"|"1124599"|49045|49045|0|203|34
3383|"2022-10-06 11:13:25.555"|"5-Angel Rios "|15|"CDAP PAGOS"|"001-024-0173480"|10000|9090|909|203|27
3384|"2022-10-06 11:13:25.56"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002110"|6015068|5468243|546824|203|16
3385|"2022-10-06 11:13:25.565"|"5-Angel Rios "|17|"GASTO ADMIN."|"001-001-0002111"|660000|600000|60000|203|17
3386|"2022-10-06 16:51:44.105"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04020555M"|106030|106030|0|204|2
3387|"2022-10-06 16:51:44.11"|"5-Angel Rios "|2|"INDI"|"22005IC04020555M"|26950|26950|0|204|3
3388|"2022-10-06 16:51:44.119"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IC04020555M"|151615|151615|0|204|5
3389|"2022-10-06 16:51:44.123"|"5-Angel Rios "|4|"IRE GENERAL 700"|"22005IC04020555M"|123971|123971|0|204|38
3390|"2022-10-06 16:51:44.129"|"5-Angel Rios "|5|"I.V.A."|"22005IC04020555M"|3099278|0|3099278|204|8
3391|"2022-10-06 16:51:44.138"|"5-Angel Rios "|6|"CANON INFORMATICO"|"5130607"|98089|98089|0|204|9
3392|"2022-10-06 16:51:44.145"|"5-Angel Rios "|7|"APERTURA AG. TRANSP."|"001-001-0017355"|175000|159090|15909|204|13
3393|"2022-10-06 16:51:44.152"|"5-Angel Rios "|8|"FOTOCOPIAS"|"001-002-0018458"|80000|72727|7272|204|12
3394|"2022-10-06 16:51:44.158"|"5-Angel Rios "|9|"TASA PORTUARIA"|"002-007-0043111"|191594|174176|17417|204|14
3395|"2022-10-06 16:51:44.164"|"5-Angel Rios "|10|"CDAP PAGOS"|"001-025-0185504"|7073|6430|643|204|27
3396|"2022-10-06 16:51:44.175"|"5-Angel Rios "|11|"SERVICIOS SOFIA / ANNP"|"001-004-0133311"|4790|4354|435|204|11
3397|"2022-10-06 16:51:44.179"|"5-Angel Rios "|12|"VISACION CONSUL"|"03022651/52/53/54"|688500|688500|0|204|15
3398|"2022-10-06 16:51:44.192"|"5-Angel Rios "|13|"HON. DESP. S/ LEY 220/93"|"x"|4884000|4440000|444000|204|16
3399|"2022-10-06 16:51:44.197"|"5-Angel Rios "|14|"GASTO ADMIN."|"x"|0|0|0|204|17
3400|"2022-10-07 14:11:43.607"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04020555M"|106030|106030|0|205|2
3401|"2022-10-07 14:11:43.619"|"5-Angel Rios "|2|"INDI"|"22005IC04020555M"|26950|26950|0|205|3
3402|"2022-10-07 14:11:43.625"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IC04020555M"|151615|151615|0|205|5
3403|"2022-10-07 14:11:43.635"|"5-Angel Rios "|4|"IRE GENERAL 700"|"22005IC04020555M"|123971|123971|0|205|38
3404|"2022-10-07 14:11:43.642"|"5-Angel Rios "|5|"I.V.A."|"22005IC04020555M"|3099278|0|3099278|205|8
3405|"2022-10-07 14:11:43.649"|"5-Angel Rios "|6|"CANON INFORMATICO"|"5130607"|98089|98089|0|205|9
3406|"2022-10-07 14:11:43.656"|"5-Angel Rios "|7|"APERTURA AG. TRANSP."|"001-001-0017355"|175000|159090|15909|205|13
3407|"2022-10-07 14:11:43.664"|"5-Angel Rios "|8|"FOTOCOPIAS"|"001-002-0018458"|80000|72727|7272|205|12
3408|"2022-10-07 14:11:43.67"|"5-Angel Rios "|9|"TASA PORTUARIA"|"002-007-0043111"|191594|174176|17417|205|14
3409|"2022-10-07 14:11:43.675"|"5-Angel Rios "|10|"CDAP PAGOS"|"001-025-0185504"|7073|6430|643|205|27
3410|"2022-10-07 14:11:43.68"|"5-Angel Rios "|11|"SERVICIOS SOFIA / ANNP"|"001-004-0133311"|4790|4354|435|205|11
3411|"2022-10-07 14:11:43.685"|"5-Angel Rios "|12|"VISACION CONSUL"|"03022651/52/53/54"|688500|688500|0|205|15
3412|"2022-10-07 14:11:43.691"|"5-Angel Rios "|13|"HON. DESP. S/ LEY 220/93"|"001-001-0002113"|4884000|4440000|444000|205|16
3413|"2022-10-07 14:11:43.696"|"5-Angel Rios "|14|"GASTO ADMIN."|"x"|0|0|0|205|17
3414|"2022-10-07 14:16:34.841"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22018EC01003111V"|0|0|0|206|2
3415|"2022-10-07 14:16:34.865"|"5-Angel Rios "|2|"INDI"|"22018EC01003111V"|0|0|0|206|3
3416|"2022-10-07 14:16:34.888"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22018EC01003111V"|0|0|0|206|5
3417|"2022-10-07 14:16:34.905"|"5-Angel Rios "|4|"IRE GENERAL 700"|"22018EC01003111V"|0|0|0|206|38
3418|"2022-10-07 14:16:34.939"|"5-Angel Rios "|5|"I.V.A."|"22018EC01003111V"|0|0|0|206|8
3419|"2022-10-07 14:16:34.951"|"5-Angel Rios "|6|"CANON INFORMATICO"|"5068787"|245222|245222|0|206|9
3420|"2022-10-07 14:16:34.962"|"5-Angel Rios "|7|"APERTURA AG. TRANSP."|"x"|0|0|0|206|13
3421|"2022-10-07 14:16:34.971"|"5-Angel Rios "|8|"FOTOCOPIAS"|"001-001-0009483"|50000|45454|4545|206|12
3422|"2022-10-07 14:16:34.98"|"5-Angel Rios "|9|"TASA UIP CO"|"002-002-0000720"|98089|89171|8917|206|30
3423|"2022-10-07 14:16:34.988"|"5-Angel Rios "|10|"TASA MIC CO"|"1950634"|102489|93171|9317|206|29
3424|"2022-10-07 14:16:34.995"|"5-Angel Rios "|11|"HON. DESP. S/ LEY 220/93"|"001-001-0002107"|3451529|3137753|313775|206|16
3425|"2022-10-07 14:16:35.022"|"5-Angel Rios "|12|"GASTO ADMIN."|"x"|0|0|0|206|17
3426|"2022-10-10 11:05:39.76"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22030IC04012492L"|87837558|87837558|0|207|2
3427|"2022-10-10 11:05:39.768"|"5-Angel Rios "|2|"INDI"|"22030IC04012492L"|44799|44799|0|207|3
3428|"2022-10-10 11:05:39.775"|"5-Angel Rios "|3|"I.S.C."|"22030IC04012492L"|1561730|1561730|0|207|4
3429|"2022-10-10 11:05:39.782"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22030IC04012492L"|2671036|2671036|0|207|5
3430|"2022-10-10 11:05:39.799"|"5-Angel Rios "|5|"IRE GENERAL 700"|"22030IC04012492L"|2507850|2507850|0|207|38
3431|"2022-10-10 11:05:39.806"|"5-Angel Rios "|6|"I.V.A."|"22030IC04012492L"|62696236|0|62696236|207|8
3432|"2022-10-10 11:05:39.811"|"5-Angel Rios "|7|"TASA INT. ADUANERA "|"22030IC04012492L"|353645|353645|0|207|35
3433|"2022-10-10 11:05:39.816"|"5-Angel Rios "|8|"CANON INFORMATICO"|"5168548"|245222|245222|0|207|9
3434|"2022-10-10 11:05:39.824"|"5-Angel Rios "|9|"FOTOCOPIAS"|"020-002-0002067"|50000|45454|4545|207|12
3435|"2022-10-10 11:05:39.829"|"5-Angel Rios "|10|"TASA PORTUARIA"|"001-004-18271"|919462|835874|83587|207|14
3436|"2022-10-10 11:05:39.835"|"5-Angel Rios "|11|"TASA MIC LPI LAMPARAS"|"1127829"|686623|686623|0|207|44
3437|"2022-10-10 11:05:39.842"|"5-Angel Rios "|12|"CDAP PAGOS"|"001-024-0175766"|10000|9090|909|207|27
3438|"2022-10-10 11:05:39.847"|"5-Angel Rios "|13|"RENV. IMPOR. LAMPA"|"1958012"|691023|691023|0|207|44
3439|"2022-10-10 11:05:39.854"|"5-Angel Rios "|14|"VISACION MRE"|"x"|490445|490445|0|207|28
3440|"2022-10-10 11:05:39.859"|"5-Angel Rios "|15|"CDAP PAGOS"|"x"|10000|9090|909|207|27
3441|"2022-10-10 11:05:39.865"|"5-Angel Rios "|16|"HON. DESP. S/ LEY 220/93"|"001-001-0002114"|4842884|4402621|440262|207|16
3442|"2022-10-10 11:05:39.871"|"5-Angel Rios "|17|"REPOSICION DE GASTOS ADM"|"001-001-0002115"|660000|600000|60000|207|21
3443|"2022-10-10 11:05:39.875"|"5-Angel Rios "|18|"GASTO ADMIN."|"0000760"|1500000|1500000|0|207|17
3444|"2022-10-10 11:59:51.426"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04020815L"|0|0|0|208|2
3445|"2022-10-10 11:59:51.432"|"5-Angel Rios "|2|"INDI"|"22005IC04020815L"|26950|26950|0|208|3
3446|"2022-10-10 11:59:51.437"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IC04020815L"|3103319|3103319|0|208|5
3447|"2022-10-10 11:59:51.454"|"5-Angel Rios "|4|"IRE GENERAL 700"|"22005IC04020815L"|2496717|2496717|0|208|38
3448|"2022-10-10 11:59:51.458"|"5-Angel Rios "|5|"I.V.A."|"22005IC04020815L"|62417919|0|62417919|208|8
3449|"2022-10-10 11:59:51.463"|"5-Angel Rios "|6|"CANON INFORMATICO"|"5168393"|245222|245222|0|208|9
3450|"2022-10-10 11:59:51.47"|"5-Angel Rios "|7|"FOTOCOPIAS"|"001-002-0018475"|80000|72727|7272|208|12
3451|"2022-10-10 11:59:51.476"|"5-Angel Rios "|8|"TASA PORTUARIA"|"002-007-0043780"|2960520|2691381|269138|208|14
3452|"2022-10-10 11:59:51.48"|"5-Angel Rios "|9|"CDAP PAGOS"|"001-025-0186788"|7072|6429|642|208|27
3453|"2022-10-10 11:59:51.485"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"001-004-0134591"|74013|67284|6728|208|11
3454|"2022-10-10 11:59:51.49"|"5-Angel Rios "|11|"VISACION CONSUL"|"03026219/21/23/24"|810000|810000|0|208|15
3455|"2022-10-10 11:59:51.496"|"5-Angel Rios "|12|"HON. DESP. S/ LEY 220/93"|"001-001-0002116"|5062962|4602692|460269|208|16
3456|"2022-10-10 11:59:51.504"|"5-Angel Rios "|13|"GASTO ADMIN."|"x"|0|0|0|208|17
3457|"2022-10-10 12:32:40.472"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IM04000530N"|527859|527859|0|209|2
3458|"2022-10-10 12:32:40.478"|"5-Angel Rios "|2|"INDI"|"22005IM04000530N"|14852|14852|0|209|3
3459|"2022-10-10 12:32:40.486"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IM04000530N"|71716|71716|0|209|5
3460|"2022-10-10 12:32:40.493"|"5-Angel Rios "|4|"IRE GENERAL 700"|"22005IM04000530N"|60679|60679|0|209|38
3461|"2022-10-10 12:32:40.498"|"5-Angel Rios "|5|"I.V.A."|"22005IM04000530N"|1516995|0|1516995|209|8
3462|"2022-10-10 12:32:40.503"|"5-Angel Rios "|6|"CANON INFORMATICO"|"5168362"|49044|49044|0|209|9
3463|"2022-10-10 12:32:40.508"|"5-Angel Rios "|7|"FOTOCOPIAS"|"001-002-0018474"|170000|154545|15454|209|12
3464|"2022-10-10 12:32:40.515"|"5-Angel Rios "|8|"TASA PORTUARIA"|"002-007-0043775"|81969|74517|7451|209|14
3465|"2022-10-10 12:32:40.52"|"5-Angel Rios "|9|"CDAP PAGOS"|"001-025-0186787"|7072|6429|642|209|27
3466|"2022-10-10 12:32:40.525"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"001-004-0134586"|2049|1862|186|209|11
3467|"2022-10-10 12:32:40.534"|"5-Angel Rios "|11|"VISACION CONSUL"|"03026220/22"|243000|243000|0|209|15
